,simuli_name_1,Participant,avg_max,avg_min,avg_mean,avg_std,avg_kurtosis,avg_skewness,avg_auc,corr_max,corr_min,corr_mean,corr_std,corr_kurtosis,corr_skewness,corr_auc,diff_max,diff_min,diff_mean,diff_std,diff_kurtosis,diff_skewness,diff_auc
66,LN_7_P,5KB3V,4.036800385,3.308288574,3.676881111,0.189215155,-0.999096898,-0.004056378,1070.177402,3.983929907,3.774094605,3.85215546,0.051548679,,,,0.052870477,-0.465806031,-0.175274349,0.137666476,,,
67,LN_9,5KB3V,4.180732727,3.396972656,3.747451324,0.237366911,-1.182289883,0.331646006,558.2864685,4.231408058,3.806665509,4.075386839,0.128449685,,,,-0.050675331,-0.409692853,-0.327935515,0.108917225,,,
68,LP_1,5KB3V,3.935791016,3.469100952,3.715976715,0.141469736,-1.306455889,-0.146908651,223.0138474,3.797657974,3.558903402,3.66760947,0.058818201,0.516391005,0.686996381,220.0853217,0.138133041,-0.08980245,0.048367245,0.082651535,-1.822846894,-0.833905032,2.928525687
69,LP_2,5KB3V,3.644470215,3.316379547,3.518733152,0.088733517,-1.156725529,-0.365957567,418.7675533,3.629392826,3.459453384,3.53027038,0.0558203,-1.464571521,0.252284936,420.0612509,0.015077389,-0.143073837,-0.011537228,0.032913217,0.307845991,-0.618242503,-1.293697554
70,LP_3,5KB3V,4.062461853,3.464653015,3.730066707,0.126952511,0.67380662,0.666356935,1410.045403,3.871103002,3.652850527,3.771171202,0.05437405,-0.07805692,-0.266531935,1425.500924,0.191358851,-0.188197512,-0.041104495,0.072578461,0.751863541,0.93288887,-15.45552129
71,LP_4,5KB3V,3.774940491,3.493556976,3.59721927,0.062664038,0.125569351,0.727019787,726.6811333,3.727039147,3.51084601,3.612253711,0.041898975,-0.501242631,0.154106591,729.7238893,0.047901344,-0.017289034,-0.015034442,0.020765063,0.626811982,0.572913196,-3.042756011
72,LP_5,5KB3V,3.621677399,2.796035767,3.530385308,0.114477375,33.83903076,-5.694315412,159.2189121,3.542934577,3.275107288,3.45642226,0.073521837,-0.547601399,-0.318797797,155.5343783,0.078742821,-0.479071522,0.073963047,0.040955538,34.38663216,-5.375517615,3.684533823
73,LP_6,5KB3V,3.602519989,2.981464386,3.357540927,0.136693244,0.286423201,-0.581349511,527.042223,3.459922651,3.393757675,3.421746862,0.018985582,-1.495559281,0.25388994,537.2040646,0.142597338,-0.412293289,-0.064205935,0.117707662,1.781982482,-0.835239451,-10.1618416
74,LP_7,5KB3V,3.98682785,3.366649628,3.645806703,0.120716689,-0.29534098,0.51550181,2234.943208,3.823696413,3.537662033,3.62212384,0.04665389,4.885475295,1.67815684,2220.338847,0.163131438,-0.171012405,0.023682863,0.074062799,-5.180816275,-1.16265503,14.60436149
75,LP_9,5KB3V,3.721908569,3.256904602,3.408063954,0.110071781,0.850756868,1.08320448,596.4273262,3.48325629,3.299048052,3.390607802,0.035216382,-0.719275234,0.086743019,593.3597753,0.238652279,-0.04214345,0.017456152,0.074855399,1.570032102,0.996461461,3.067550863
76,HN_1,6GSd4,5.019985199,3.602531433,4.352003729,0.251041501,1.592592455,-0.316422701,2415.527935,4.733131214,4.257774753,4.3429495,0.085400206,,,,0.286853985,-0.65524332,0.009054229,0.165641295,,,
77,HN_2_H,6GSd4,5.069671631,3.621513367,3.989750928,0.320932194,2.548787938,1.668136254,1667.418333,4.762314733,3.713500685,3.878904154,0.206411842,11.49501918,3.274810691,1621.016388,0.307356898,-0.091987318,0.110846774,0.114520352,-8.946231247,-1.606674437,46.40194497
78,HN_2_L,6GSd4,3.955669403,3.017559052,3.608375858,0.23766982,0.3262353,-1.052339793,754.307497,3.973836796,3.713500685,3.810761274,0.065428729,,,,-0.018167393,-0.695941633,-0.202385416,0.172241091,,,
79,HN_3_H,6GSd4,4.776565552,3.804706573,4.07477834,0.275805705,0.303077262,1.207495762,407.260273,4.404912744,3.986071445,4.082872909,0.17488107,-0.314100963,1.298256061,408.1743017,0.371652808,-0.181364872,-0.00809457,0.100924635,0.617178226,-0.090760299,-0.914028696
80,HN_3_L,6GSd4,4.055156708,3.457630157,3.796277134,0.113983407,1.449096002,-1.285844796,1108.607685,3.996571771,3.629254197,3.889782755,0.082925266,,,,0.058584937,-0.17162404,-0.093505621,0.031058141,,,
81,HN_4,6GSd4,4.12537384,3.472625732,3.863341673,0.13771617,-0.027951212,-0.75632028,815.3084793,3.736584803,3.697083106,3.710326552,0.014401572,-1.260271122,0.443822447,782.8723595,0.388789037,-0.224457374,0.153015122,0.123314598,1.232319909,-1.200142728,32.43611984
82,HN_5,6GSd4,4.254333496,3.666416168,4.004367104,0.132523405,-0.727464388,0.178255714,1177.189651,4.145772952,3.917827872,3.959890193,0.042303333,3.604511801,1.607916552,1164.155293,0.108560544,-0.251411704,0.044476912,0.090220072,-4.331976189,-1.429660839,13.03435814
83,HN_6,6GSd4,3.842758179,3.528171539,3.691170274,0.068978646,-0.667945879,-0.021068816,1074.135963,3.698459552,3.667794884,3.677090053,0.008247241,-0.852869148,0.886316487,1070.037591,0.144298626,-0.139623344,0.014080221,0.060731405,0.184923269,-0.907385303,4.098372306
