sec,R_%,G_%,B_%,lux
1005,80,30,40,10
1006,80,30,50,11
1007,80,30,60,13
1008,80,30,70,16
1009,80,30,80,19
1010,80,30,90,23
1011,80,30,100,26
1012,80,40,0,10
1013,80,40,10,10
1014,80,40,20,10
1015,80,40,30,11
1016,80,40,40,11
1017,80,40,50,12
1018,80,40,60,14
1019,80,40,70,17
1020,80,40,80,20
1021,80,40,90,24.5
1022,80,40,100,28
1023,80,50,0,12
1024,80,50,10,12
1025,80,50,20,13
1026,80,50,30,13
1027,80,50,40,14
1028,80,50,50,15
1029,80,50,60,17
1030,80,50,70,20
1031,80,50,80,23
1032,80,50,90,27
1033,80,50,100,28
1034,80,60,0,15
1035,80,60,10,15
1036,80,60,20,16
1037,80,60,30,17
1038,80,60,40,17
1039,80,60,50,18
1040,80,60,60,20
1041,80,60,65,21
1042,80,60,70,22
1043,80,60,75,24
,80,60,80,26
,80,60,85,28
,80,60,90,30
,80,60,95,33
1044,80,60,100,33
,80,65,0,17
,80,65,60,22
,80,65,65,23
,80,65,70,25
,80,65,75,26
,80,65,80,28
,80,65,85,30
,80,65,90,33
,80,65,95,35
,80,65,100,35.5
1045,80,70,0,20
1046,80,70,10,20
1047,80,70,20,20
1048,80,70,30,21
1049,80,70,40,22
1050,80,70,50,23
1051,80,70,60,25
1052,80,70,65,26
1053,80,70,70,27
1054,80,70,75,29
,80,70,80,30
,80,70,85,33
,80,70,90,35
,80,70,95,38
1055,80,70,100,38
,80,75,0,22
,80,75,60,27
,80,75,65,28
,80,75,70,30
,80,75,75,32
,80,75,80,33
,80,75,85,35
,80,75,90,38
,80,75,95,41
,80,75,100,41
1056,80,80,0,26
1057,80,80,10,28
1058,80,80,20,26
1059,80,80,30,27
1060,80,80,40,27
1061,80,80,50,28
1062,80,80,60,30
1063,80,80,65,32
1064,80,80,70,33
1065,80,80,75,35
,80,80,80,37
,80,80,85,38
,80,80,90,41
,80,80,95,43
1066,80,80,100,44
,80,85,0,29
,80,85,60,34
,80,85,65,35
,80,85,70,37
,80,85,75,38
,80,85,80,40
,80,85,85,42
,80,85,90,45
,80,85,95,47
,80,85,100,47
1067,80,90,0,34
1068,80,90,10,34
1069,80,90,20,34
1070,80,90,30,35
1071,80,90,40,35
1072,80,90,50,37
1073,80,90,60,38
1074,80,90,65,40
1075,80,90,70,41
1076,80,90,75,43
,80,90,80,44
,80,90,85,47
,80,90,90,49
,80,90,95,52
1077,80,90,100,52
,80,95,0,35
,80,95,60,40
,80,95,65,42
,80,95,70,43
,80,95,75,45
,80,95,80,46
,80,95,85,49
,80,95,90,51
,80,95,95,53
,80,95,100,53
1078,80,100,0,36
1079,80,100,10,36
1080,80,100,20,36
1081,80,100,30,36
1082,80,100,40,37
1083,80,100,50,38
1084,80,100,60,40
1085,80,100,65,42
1086,80,100,70,43
1087,80,100,75,45
,80,100,80,47
,80,100,85,49
,80,100,90,50
,80,100,95,53
1088,80,100,100,53
1089,90,0,0,10
1090,90,0,10,10
1091,90,0,20,11
1092,90,0,30,11
1093,90,0,40,12
1094,90,0,50,13
1095,90,0,60,14
1096,90,0,65,16
1097,90,0,70,17
1098,90,0,75,18
,90,0,80,20
,90,0,85,23
,90,0,90,24
,90,0,95,27
1099,90,0,100,28
1100,90,10,0,10
1101,90,10,10,11
1102,90,10,20,11
1103,90,10,30,11
1104,90,10,40,12
1105,90,10,50,13
1106,90,10,60,15
1107,90,10,70,17
1108,90,10,80,21
1109,90,10,90,24
1110,90,10,100,28
1111,90,20,0,11
1112,90,20,10,11
1113,90,20,20,11
1114,90,20,30,11.5
1115,90,20,40,12
1116,90,20,50,13
1117,90,20,60,15
1118,90,20,70,18
1119,90,20,80,21
1120,90,20,90,25
1121,90,20,100,28
1122,90,30,0,12
1123,90,30,10,12
1124,90,30,20,12
1125,90,30,30,12.5
1126,90,30,40,13
1127,90,30,50,14
1128,90,30,60,16
1129,90,30,70,18
